[2024-03-03 13:16:21.896007] , Network: net_001, Trip Size: 1000, Average Time: 414.778, Algo: cr, Congestion T: 5
[2024-03-03 13:29:07.826755] , Network: net_001, Trip Size: 2000, Average Time: 665.887, Algo: cr, Congestion T: 5
[2024-03-03 13:58:33.493022] , Network: net_001, Trip Size: 3000, Average Time: 1039.0345333333332, Algo: cr, Congestion T: 5
[2024-03-03 15:32:56.393153] , Network: net_001, Trip Size: 4000, Average Time: 2038.1636, Algo: cr, Congestion T: 5
 [2024-03-03 15:44:43.273566] , Network: net_001, Trip Size: 2000, Average Time: 1492.4714, Algo: astar, Congestion T: 5
[2024-03-03 16:03:58.165917] , Network: net_001, Trip Size: 3000, Average Time: 3921.3964, Algo: astar, Congestion T: 5
[2024-03-03 16:51:49.516818] , Network: net_001, Trip Size: 4000, Average Time: 5715.9773, Algo: astar, Congestion T: 5
[2024-03-03 16:58:35.328689] , Network: rand_20, Trip Size: 1000, Average Time: 356.76, Algo: astar, Congestion T: 5

[2024-03-04 08:56:13.299758] , Network: rand_20, Trip Size: 500, Average Time: 200.088, Algo: cr, Congestion T: 5
[2024-03-04 08:56:36.482186] , Network: rand_20, Trip Size: 1000, Average Time: 189.671, Algo: cr, Congestion T: 5
[2024-03-04 08:57:09.469463] , Network: rand_20, Trip Size: 1250, Average Time: 222.0368, Algo: cr, Congestion T: 5
[2024-03-04 08:57:56.111670] , Network: rand_20, Trip Size: 1500, Average Time: 265.2606666666667, Algo: cr, Congestion T: 5
[2024-03-04 08:58:02.446082] , Network: rand_20, Trip Size: 500, Average Time: 144.248, Algo: astar, Congestion T: 5
[2024-03-04 08:58:17.733360] , Network: rand_20, Trip Size: 1000, Average Time: 356.76, Algo: astar, Congestion T: 5
[2024-03-04 08:58:36.653901] , Network: rand_20, Trip Size: 1250, Average Time: 503.1816, Algo: astar, Congestion T: 5
[2024-03-04 08:59:01.770930] , Network: rand_20, Trip Size: 1500, Average Time: 742.012, Algo: astar, Congestion T: 5
[2024-03-04 09:00:13.076857] , Network: grid_10, Trip Size: 500, Average Time: 76.934, Algo: cr, Congestion T: 5
[2024-03-04 09:01:13.093081] , Network: grid_10, Trip Size: 1000, Average Time: 77.378, Algo: cr, Congestion T: 5
[2024-03-04 09:03:07.566540] , Network: grid_10, Trip Size: 2000, Average Time: 78.4745, Algo: cr, Congestion T: 5
[2024-03-04 09:04:31.361036] , Network: grid_10, Trip Size: 1500, Average Time: 78.038, Algo: cr, Congestion T: 5
[2024-03-04 09:05:01.276557] , Network: grid_10, Trip Size: 500, Average Time: 77.724, Algo: astar, Congestion T: 5
[2024-03-04 09:05:56.451918] , Network: grid_10, Trip Size: 1000, Average Time: 77.626, Algo: astar, Congestion T: 5
[2024-03-04 09:07:41.387978] , Network: grid_10, Trip Size: 2000, Average Time: 78.7805, Algo: astar, Congestion T: 5
[2024-03-04 09:09:02.482408] , Network: grid_10, Trip Size: 1500, Average Time: 78.47, Algo: astar, Congestion T: 5
[2024-03-04 13:15:19.585268] , Network: rand_20, Trip Size: 500, Average Time: 200.088, Algo: cr, Congestion T: 5
[2024-03-04 13:15:44.287653] , Network: rand_20, Trip Size: 1000, Average Time: 189.671, Algo: cr, Congestion T: 5
[2024-03-04 13:16:18.090197] , Network: rand_20, Trip Size: 1250, Average Time: 222.0368, Algo: cr, Congestion T: 5
[2024-03-04 13:17:06.368023] , Network: rand_20, Trip Size: 1500, Average Time: 265.2606666666667, Algo: cr, Congestion T: 5
[2024-03-04 13:17:12.998442] , Network: rand_20, Trip Size: 500, Average Time: 144.248, Algo: astar, Congestion T: 5
[2024-03-04 13:17:29.083473] , Network: rand_20, Trip Size: 1000, Average Time: 356.76, Algo: astar, Congestion T: 5
[2024-03-04 13:17:48.917157] , Network: rand_20, Trip Size: 1250, Average Time: 503.1816, Algo: astar, Congestion T: 5
[2024-03-04 13:18:15.218694] , Network: rand_20, Trip Size: 1500, Average Time: 742.012, Algo: astar, Congestion T: 5
