[2024-03-04 13:45:34.364011] , Network: grid_10, Trip Size: 500, Average Time: 76.934, Algo: cr, Congestion T: 5
[2024-03-04 13:46:45.707602] , Network: grid_10, Trip Size: 1000, Average Time: 77.378, Algo: cr, Congestion T: 5
[2024-03-04 13:49:00.096533] , Network: grid_10, Trip Size: 2000, Average Time: 78.4745, Algo: cr, Congestion T: 5
[2024-03-04 13:50:38.470537] , Network: grid_10, Trip Size: 1500, Average Time: 78.038, Algo: cr, Congestion T: 5
[2024-03-04 13:51:13.727219] , Network: grid_10, Trip Size: 500, Average Time: 77.724, Algo: astar, Congestion T: 5
[2024-03-04 13:52:19.330798] , Network: grid_10, Trip Size: 1000, Average Time: 77.626, Algo: astar, Congestion T: 5
[2024-03-04 13:54:29.450554] , Network: grid_10, Trip Size: 2000, Average Time: 78.7805, Algo: astar, Congestion T: 5
[2024-03-04 13:56:07.456676] , Network: grid_10, Trip Size: 1500, Average Time: 78.47, Algo: astar, Congestion T: 5
[2024-03-04 16:49:16.276601] , Network: rand_20, Trip Size: 500, Average Time: 214.238, Algo: cr, Congestion T: 10
[2024-03-04 16:51:45.588869] , Network: rand_20, Trip Size: 1000, Average Time: 199.491, Algo: cr, Congestion T: 10
[2024-03-04 16:59:15.023131] , Network: rand_20, Trip Size: 1000, Average Time: 189.671, Algo: cr, Congestion T: 5
[2024-03-04 17:01:18.380797] , Network: rand_20, Trip Size: 1000, Average Time: 345.699, Algo: cr, Congestion T: 5
[2024-03-04 17:02:19.757906] , Network: rand_20, Trip Size: 1000, Average Time: 189.671, Algo: cr, Congestion T: 5
[2024-03-04 17:03:20.151352] , Network: rand_20, Trip Size: 1000, Average Time: 197.821, Algo: cr, Congestion T: 5
[2024-03-04 17:04:47.432890] , Network: rand_20, Trip Size: 1500, Average Time: 252.96733333333333, Algo: cr, Congestion T: 5
[2024-03-04 17:10:10.547820] , Network: rand_20, Trip Size: 500, Average Time: 200.088, Algo: cr, Congestion T: 5
[2024-03-04 17:10:33.160700] , Network: rand_20, Trip Size: 1000, Average Time: 197.821, Algo: cr, Congestion T: 5
[2024-03-04 17:11:04.945394] , Network: rand_20, Trip Size: 1250, Average Time: 226.4448, Algo: cr, Congestion T: 5
[2024-03-04 17:11:47.732936] , Network: rand_20, Trip Size: 1500, Average Time: 252.96733333333333, Algo: cr, Congestion T: 5
[2024-03-04 17:21:27.849319] , Network: net_001, Trip Size: 1000, Average Time: 423.004, Algo: cr, Congestion T: 5
[2024-03-04 17:33:37.492301] , Network: net_001, Trip Size: 2000, Average Time: 662.0552, Algo: cr, Congestion T: 5
[2024-03-04 17:52:30.033778] , Network: rand_20, Trip Size: 1000, Average Time: 197.821, Algo: cr, Congestion T: 5
[2024-03-04 18:00:44.887879] , Network: rand_20, Trip Size: 1000, Average Time: 189.671, Algo: cr, Congestion T: 5
[2024-03-04 18:03:54.508590] , Network: rand_20, Trip Size: 1000, Average Time: 189.671, Algo: cr, Congestion T: 5
[2024-03-04 18:06:03.213354] , Network: net_001, Trip Size: 3000, Average Time: 1125.9006666666667, Algo: cr, Congestion T: 5
[2024-03-04 19:27:49.200285] , Network: rand_20, Trip Size: 1000, Average Time: 258.118, Algo: cr, Congestion T: 5
[2024-03-04 19:45:06.764048] , Network: rand_20, Trip Size: 1000, Average Time: 356.76, Algo: astar, Congestion T: 5
[2024-03-04 19:46:53.040616] , Network: rand_20, Trip Size: 1000, Average Time: 356.76, Algo: astar, Congestion T: 5
[2024-03-04 19:49:30.972059] , Network: rand_20, Trip Size: 500, Average Time: 144.248, Algo: astar, Congestion T: 5
[2024-03-04 19:50:15.389575] , Network: rand_20, Trip Size: 1250, Average Time: 503.1816, Algo: astar, Congestion T: 5
[2024-03-04 19:52:46.717126] , Network: rand_20, Trip Size: 1250, Average Time: 503.1816, Algo: astar, Congestion T: 5
[2024-03-04 19:53:55.631375] , Network: rand_20, Trip Size: 1500, Average Time: 742.012, Algo: astar, Congestion T: 5
[2024-03-04 19:59:47.324758] , Network: net_001, Trip Size: 1000, Average Time: 423.6076, Algo: cr, Congestion T: 5
[2024-03-04 20:21:54.990421] , Network: net_001, Trip Size: 2000, Average Time: 723.1192, Algo: cr, Congestion T: 5
[2024-03-04 20:54:45.310048] , Network: net_001, Trip Size: 3000, Average Time: 1022.8453333333333, Algo: cr, Congestion T: 5
[2024-03-04 23:23:03.731011] , Network: net_001, Trip Size: 4000, Average Time: 1748.344, Algo: cr, Congestion T: 5
[2024-03-05 09:14:11.183586] , Network: rand_20, Trip Size: 500, Average Time: 214.238, Algo: cr, Congestion T: 5
[2024-03-05 09:14:39.187451] , Network: rand_20, Trip Size: 1000, Average Time: 199.491, Algo: cr, Congestion T: 5
[2024-03-05 09:15:20.757951] , Network: rand_20, Trip Size: 1250, Average Time: 241.2176, Algo: cr, Congestion T: 5
[2024-03-05 09:16:16.434081] , Network: rand_20, Trip Size: 1500, Average Time: 275.408, Algo: cr, Congestion T: 5
[2024-03-20 15:53:00.287405] , Network: tree_23, Trip Size: 5, Average Time: 42.166666666666664, Algo: cr, Congestion T: 5
