[2024-03-20 15:41:46.593337] , Network: tree_23, Trip Size: 5, Average Time: 42.166666666666664, Algo: astar, Congestion T: 5
[2024-03-20 15:42:41.403518] , Network: tree_23, Trip Size: 5, Average Time: 42.166666666666664, Algo: astar, Congestion T: 5
[2024-03-20 16:30:03.750818] , Network: tree_23, Trip Size: 250, Average Time: 40.832, Algo: cr, Congestion T: 5
[2024-03-20 16:30:12.080111] , Network: tree_23, Trip Size: 500, Average Time: 41.01, Algo: cr, Congestion T: 5
[2024-03-20 16:30:23.839795] , Network: tree_23, Trip Size: 750, Average Time: 41.024, Algo: cr, Congestion T: 5
[2024-03-20 16:30:38.304764] , Network: tree_23, Trip Size: 1000, Average Time: 41.299, Algo: cr, Congestion T: 5
[2024-03-20 16:30:56.979741] , Network: tree_23, Trip Size: 1250, Average Time: 41.2888, Algo: cr, Congestion T: 5
[2024-03-20 16:31:24.706267] , Network: tree_23, Trip Size: 1500, Average Time: 41.32533333333333, Algo: cr, Congestion T: 5
[2024-03-20 16:31:30.090102] , Network: tree_23, Trip Size: 250, Average Time: 40.832, Algo: astar, Congestion T: 5
[2024-03-20 16:31:39.138033] , Network: tree_23, Trip Size: 500, Average Time: 41.01, Algo: astar, Congestion T: 5
[2024-03-20 16:31:51.809425] , Network: tree_23, Trip Size: 750, Average Time: 41.024, Algo: astar, Congestion T: 5
[2024-03-20 16:32:08.163602] , Network: tree_23, Trip Size: 1000, Average Time: 41.299, Algo: astar, Congestion T: 5
[2024-03-20 16:32:27.820758] , Network: tree_23, Trip Size: 1250, Average Time: 41.2888, Algo: astar, Congestion T: 5
[2024-03-20 16:32:51.249013] , Network: tree_23, Trip Size: 1500, Average Time: 41.32533333333333, Algo: astar, Congestion T: 5
[2024-03-20 16:39:01.236998] , Network: rand_20, Trip Size: 500, Average Time: 214.238, Algo: cr, Congestion T: 5
[2024-03-20 16:39:28.654431] , Network: rand_20, Trip Size: 1000, Average Time: 199.491, Algo: cr, Congestion T: 5
[2024-03-20 16:40:08.858648] , Network: rand_20, Trip Size: 1250, Average Time: 241.2176, Algo: cr, Congestion T: 5
[2024-03-20 16:41:04.074943] , Network: rand_20, Trip Size: 1500, Average Time: 275.408, Algo: cr, Congestion T: 5
[2024-03-20 16:41:11.293256] , Network: rand_20, Trip Size: 500, Average Time: 144.248, Algo: astar, Congestion T: 5
[2024-03-20 16:41:28.323366] , Network: rand_20, Trip Size: 1000, Average Time: 356.76, Algo: astar, Congestion T: 5
[2024-03-20 16:41:47.850419] , Network: rand_20, Trip Size: 1250, Average Time: 503.1816, Algo: astar, Congestion T: 5
[2024-03-20 16:42:13.691935] , Network: rand_20, Trip Size: 1500, Average Time: 742.012, Algo: astar, Congestion T: 5

[2024-03-20 17:11:07.949319] , Network: tree_23, Trip Size: 250, Average Time: 40.832, Algo: cr, Congestion T: 5
[2024-03-20 17:11:16.106460] , Network: tree_23, Trip Size: 500, Average Time: 41.01, Algo: cr, Congestion T: 5
[2024-03-20 17:11:28.575297] , Network: tree_23, Trip Size: 750, Average Time: 41.024, Algo: cr, Congestion T: 5
[2024-03-20 17:11:43.785197] , Network: tree_23, Trip Size: 1000, Average Time: 41.299, Algo: cr, Congestion T: 5
[2024-03-20 17:12:02.378843] , Network: tree_23, Trip Size: 1250, Average Time: 41.2888, Algo: cr, Congestion T: 5
[2024-03-20 17:12:24.561587] , Network: tree_23, Trip Size: 1500, Average Time: 41.32533333333333, Algo: cr, Congestion T: 5
[2024-03-20 17:12:53.457343] , Network: tree_23, Trip Size: 2000, Average Time: 41.3795, Algo: cr, Congestion T: 5
[2024-03-20 17:13:29.908948] , Network: tree_23, Trip Size: 2500, Average Time: 41.3732, Algo: cr, Congestion T: 5
[2024-03-20 17:14:13.284084] , Network: tree_23, Trip Size: 3000, Average Time: 41.318, Algo: cr, Congestion T: 5

[2024-03-20 19:27:50.587844] , Network: tree_100, Trip Size: 500, Average Time: 142.036, Algo: cr, Congestion T: 3
[2024-03-20 19:28:29.403090] , Network: tree_100, Trip Size: 1000, Average Time: 145.573, Algo: cr, Congestion T: 3
[2024-03-20 19:29:29.951752] , Network: tree_100, Trip Size: 1500, Average Time: 153.09733333333332, Algo: cr, Congestion T: 3
[2024-03-20 19:30:49.359933] , Network: tree_100, Trip Size: 2000, Average Time: 150.7885, Algo: cr, Congestion T: 3
[2024-03-20 19:32:31.370453] , Network: tree_100, Trip Size: 2500, Average Time: 155.9364, Algo: cr, Congestion T: 3
[2024-03-20 19:34:31.462710] , Network: tree_100, Trip Size: 3000, Average Time: 157.024, Algo: cr, Congestion T: 3
