so_simple--[2024-03-27 15:46:54.728074] , Network: tree_23_tl, Trip Size: 500, Average Time: 341.234, Increase factor: 1.0, Congestion T: 3, Maxspeed: 5.0, sim_time: 2015
so_simple--[2024-03-27 15:47:32.641087] , Network: tree_23_tl, Trip Size: 500, Average Time: 341.5, Increase factor: 1.001, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 15:48:11.786220] , Network: tree_23_tl, Trip Size: 500, Average Time: 350.4, Increase factor: 1.002, Congestion T: 3, Maxspeed: 5.0, sim_time: 2017
so_simple--[2024-03-27 15:48:48.819622] , Network: tree_23_tl, Trip Size: 500, Average Time: 343.46, Increase factor: 1.003, Congestion T: 3, Maxspeed: 5.0, sim_time: 2013
so_simple--[2024-03-27 15:49:27.460374] , Network: tree_23_tl, Trip Size: 500, Average Time: 340.064, Increase factor: 1.004, Congestion T: 3, Maxspeed: 5.0, sim_time: 2081
so_simple--[2024-03-27 15:50:03.904534] , Network: tree_23_tl, Trip Size: 500, Average Time: 352.978, Increase factor: 1.005, Congestion T: 3, Maxspeed: 5.0, sim_time: 2014
so_simple--[2024-03-27 15:50:38.609018] , Network: tree_23_tl, Trip Size: 500, Average Time: 328.09, Increase factor: 1.006, Congestion T: 3, Maxspeed: 5.0, sim_time: 1953
so_simple--[2024-03-27 15:51:15.524970] , Network: tree_23_tl, Trip Size: 500, Average Time: 359.322, Increase factor: 1.007, Congestion T: 3, Maxspeed: 5.0, sim_time: 2021
so_simple--[2024-03-27 15:51:51.106477] , Network: tree_23_tl, Trip Size: 500, Average Time: 341.556, Increase factor: 1.008, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 15:52:26.617764] , Network: tree_23_tl, Trip Size: 500, Average Time: 339.832, Increase factor: 1.009, Congestion T: 3, Maxspeed: 5.0, sim_time: 1999
so_simple--[2024-03-27 15:53:01.507557] , Network: tree_23_tl, Trip Size: 500, Average Time: 331.218, Increase factor: 1.01, Congestion T: 3, Maxspeed: 5.0, sim_time: 1991
so_simple--[2024-03-27 15:53:37.286352] , Network: tree_23_tl, Trip Size: 500, Average Time: 350.068, Increase factor: 1.011, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 15:54:12.578923] , Network: tree_23_tl, Trip Size: 500, Average Time: 338.61, Increase factor: 1.012, Congestion T: 3, Maxspeed: 5.0, sim_time: 1992
so_simple--[2024-03-27 15:54:48.634469] , Network: tree_23_tl, Trip Size: 500, Average Time: 335.018, Increase factor: 1.013, Congestion T: 3, Maxspeed: 5.0, sim_time: 2018
so_simple--[2024-03-27 15:55:24.083641] , Network: tree_23_tl, Trip Size: 500, Average Time: 338.408, Increase factor: 1.014, Congestion T: 3, Maxspeed: 5.0, sim_time: 1992
so_simple--[2024-03-27 15:55:59.430742] , Network: tree_23_tl, Trip Size: 500, Average Time: 341.398, Increase factor: 1.015, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 15:56:34.818408] , Network: tree_23_tl, Trip Size: 500, Average Time: 337.824, Increase factor: 1.016, Congestion T: 3, Maxspeed: 5.0, sim_time: 1998
so_simple--[2024-03-27 15:57:10.048840] , Network: tree_23_tl, Trip Size: 500, Average Time: 338.56, Increase factor: 1.017, Congestion T: 3, Maxspeed: 5.0, sim_time: 1971
so_simple--[2024-03-27 15:57:45.278168] , Network: tree_23_tl, Trip Size: 500, Average Time: 340.026, Increase factor: 1.018, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
