

so_simple--[2024-04-09 20:18:08.697883] , Network: grid_10, Trip Size: 115, Average Time: 435.8971028971029, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1078
ue_simple--[2024-04-09 20:21:49.435269] , Network: grid_10, Trip Size: 115, Average Time: 453.4485514485514, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1105
so_simple--[2024-04-09 20:26:19.898618] , Network: grid_10, Trip Size: 116, Average Time: 438.0689310689311, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1057
ue_simple--[2024-04-09 20:30:26.789853] , Network: grid_10, Trip Size: 116, Average Time: 470.3786213786214, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1153
so_simple--[2024-04-09 20:35:21.778950] , Network: grid_10, Trip Size: 117, Average Time: 462.68831168831167, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1228
ue_simple--[2024-04-09 20:39:28.519829] , Network: grid_10, Trip Size: 117, Average Time: 477.63836163836163, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1225
so_simple--[2024-04-09 20:43:50.022689] , Network: grid_10, Trip Size: 118, Average Time: 440.6243756243756, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1144
ue_simple--[2024-04-09 21:04:38.281388] , Network: grid_10, Trip Size: 118, Average Time: 466.87212787212786, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1137
so_simple--[2024-04-09 21:24:10.604441] , Network: grid_10, Trip Size: 119, Average Time: 435.43956043956047, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1069
ue_simple--[2024-04-09 21:29:07.558896] , Network: grid_10, Trip Size: 119, Average Time: 467.967032967033, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1192
so_simple--[2024-04-09 21:33:03.495368] , Network: grid_10, Trip Size: 120, Average Time: 443.7792207792208, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1151
ue_simple--[2024-04-09 21:36:30.521745] , Network: grid_10, Trip Size: 120, Average Time: 448.25374625374627, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1137
