Date,Hr,Min, Network, Trip Size, Average Time, Increase factor,Max Speed, sim_time
so_simple--[2024-04-04 11,12,36.732349] ,grid_10,1000,326.327,1,15.0,1586
so_simple--[2024-04-04 11,16,54.003491] ,grid_10,1001,334.766,1,15.0,1641
so_simple--[2024-04-04 11,41,15.492561] ,grid_10,1002,332.958,1,15.0,1632
so_simple--[2024-04-04 11,49,50.978418] ,grid_10,1003,336.034,1,15.0,1587
so_simple--[2024-04-04 11,54,47.845688] ,grid_10,1004,332.712,1,15.0,1630
so_simple--[2024-04-04 11,59,32.707044] ,grid_10,1005,340.516,1,15.0,1597
so_simple--[2024-04-04 12,03,55.739351] ,grid_10,1006,306.233,1,15.0,1631
so_simple--[2024-04-04 12,08,24.484274] ,grid_10,1007,320.947,1,15.0,1631
so_simple--[2024-04-04 12,13,04.942255] ,grid_10,1008,332.552,1,15.0,1642
so_simple--[2024-04-04 12,17,38.259118] ,grid_10,1009,328.303,1,15.0,1642
so_simple--[2024-04-04 12,22,06.438016] ,grid_10,1000,335.208,1.005,15.0,1568
so_simple--[2024-04-04 12,26,44.027419] ,grid_10,1001,320.643,1.005,15.0,1643
so_simple--[2024-04-04 12,31,36.760368] ,grid_10,1002,345.492,1.005,15.0,1699
so_simple--[2024-04-04 12,35,59.835987] ,grid_10,1003,330.926,1.005,15.0,1599
so_simple--[2024-04-04 12,40,30.360483] ,grid_10,1004,339.759,1.005,15.0,1722
so_simple--[2024-04-04 12,44,51.457554] ,grid_10,1005,337.88,1.005,15.0,1632
so_simple--[2024-04-04 12,49,13.949868] ,grid_10,1006,334.798,1.005,15.0,1643
so_simple--[2024-04-04 12,53,41.962265] ,grid_10,1007,324.608,1.005,15.0,1585
so_simple--[2024-04-04 12,58,10.855206] ,grid_10,1008,350.189,1.005,15.0,1641
so_simple--[2024-04-04 13,02,22.108087] ,grid_10,1009,324.669,1.005,15.0,1602
so_simple--[2024-04-04 13,12,15.924278] ,grid_10,1000,342.643,1.01,15.0,1588
so_simple--[2024-04-04 13,16,32.040765] ,grid_10,1001,332.527,1.01,15.0,1600
so_simple--[2024-04-04 13,21,14.397940] ,grid_10,1002,344.616,1.01,15.0,1686
so_simple--[2024-04-04 13,25,37.826033] ,grid_10,1003,344.127,1.01,15.0,1631
so_simple--[2024-04-04 13,30,01.279279] ,grid_10,1004,330.088,1.01,15.0,1588
so_simple--[2024-04-04 13,34,36.485542] ,grid_10,1005,336.034,1.01,15.0,1691
so_simple--[2024-04-04 13,38,56.765928] ,grid_10,1006,337.098,1.01,15.0,1596
so_simple--[2024-04-04 13,43,06.107484] ,grid_10,1007,320.914,1.01,15.0,1586
so_simple--[2024-04-04 13,47,32.970730] ,grid_10,1008,330.805,1.01,15.0,1687
so_simple--[2024-04-04 13,51,39.379235] ,grid_10,1009,326.811,1.01,15.0,1541
so_simple--[2024-04-04 13,55,59.134048] ,grid_10,1000,329.843,1.015,15.0,1601
so_simple--[2024-04-04 14,00,08.146766] ,grid_10,1001,331.795,1.015,15.0,1560
so_simple--[2024-04-04 14,05,00.999978] ,grid_10,1002,341.965,1.015,15.0,1652
so_simple--[2024-04-04 14,10,13.959380] ,grid_10,1003,338.639,1.015,15.0,1644
so_simple--[2024-04-04 14,15,21.382442] ,grid_10,1004,336.612,1.015,15.0,1631
so_simple--[2024-04-04 14,20,38.061419] ,grid_10,1005,339.481,1.015,15.0,1631
so_simple--[2024-04-04 14,25,38.173558] ,grid_10,1006,329.486,1.015,15.0,1588
so_simple--[2024-04-04 14,30,31.020933] ,grid_10,1007,332.271,1.015,15.0,1586
so_simple--[2024-04-04 14,34,44.433268] ,grid_10,1008,326.6,1.015,15.0,1615
so_simple--[2024-04-04 14,39,17.293451] ,grid_10,1009,335.188,1.015,15.0,1630
so_simple--[2024-04-04 14,43,48.135302] ,grid_10,1000,331.517,1.02,15.0,1606
so_simple--[2024-04-04 14,48,28.827232] ,grid_10,1001,319.022,1.02,15.0,1720
so_simple--[2024-04-04 14,52,54.708420] ,grid_10,1002,329.408,1.02,15.0,1632
so_simple--[2024-04-04 14,57,07.845905] ,grid_10,1003,328.759,1.02,15.0,1596
so_simple--[2024-04-04 15,01,18.290198] ,grid_10,1004,326.304,1.02,15.0,1588
so_simple--[2024-04-04 15,05,54.820328] ,grid_10,1005,351.837,1.02,15.0,1693
so_simple--[2024-04-04 15,10,15.681438] ,grid_10,1006,326.228,1.02,15.0,1630
so_simple--[2024-04-04 15,14,31.610862] ,grid_10,1007,319.939,1.02,15.0,1603
so_simple--[2024-04-04 15,19,03.493243] ,grid_10,1008,321.403,1.02,15.0,1641
so_simple--[2024-04-06 12,15,34.031262] ,grid_10,1009,330.871,1.02,15.0,1630
so_simple--[2024-04-04 14,43,48.135302] ,grid_10,1000,331.517,1.025,15.0,1606
so_simple--[2024-04-04 14,48,28.827232] ,grid_10,1001,319.022,1.025,15.0,1720
so_simple--[2024-04-04 14,52,54.708420] ,grid_10,1002,329.408,1.025,15.0,1632
so_simple--[2024-04-04 14,57,07.845905] ,grid_10,1003,324.759,1.025,15.0,1596
so_simple--[2024-04-04 15,01,18.290198] ,grid_10,1004,326.304,1.025,15.0,1588
so_simple--[2024-04-04 15,05,54.820328] ,grid_10,1005,359.837,1.025,15.0,1693
so_simple--[2024-04-04 15,10,15.681438] ,grid_10,1006,326.228,1.025,15.0,1630
so_simple--[2024-04-04 15,14,31.610862] ,grid_10,1007,319.939,1.025,15.0,1603
so_simple--[2024-04-04 15,19,03.493243] ,grid_10,1008,311.403,1.025,15.0,1641
so_simple--[2024-04-06 12,15,34.031262] ,grid_10,1009,350.871,1.025,15.0,1630
so_simple--[2024-04-06 13,00,24.798373] ,grid_10,1000,319.708,1.03,15.0,1586
so_simple--[2024-04-06 13,04,29.578172] ,grid_10,1001,324.066,1.03,15.0,1677
so_simple--[2024-04-06 13,08,35.395025] ,grid_10,1002,342.492,1.03,15.0,1632
so_simple--[2024-04-06 13,12,40.468747] ,grid_10,1003,341.543,1.03,15.0,1632
so_simple--[2024-04-06 13,17,02.257891] ,grid_10,1004,327.214,1.03,15.0,1828
so_simple--[2024-04-06 13,25,51.073426] ,grid_10,1005,347.777,1.03,15.0,1631
so_simple--[2024-04-06 13,34,38.831042] ,grid_10,1006,339.136,1.03,15.0,1638
so_simple--[2024-04-06 13,40,14.264797] ,grid_10,1007,344.081,1.03,15.0,1631
so_simple--[2024-04-06 13,55,33.689458] ,grid_10,1008,349.532,1.03,15.0,1676
so_simple--[2024-04-06 14,06,03.267986] ,grid_10,1009,327.551,1.03,15.0,1640
so_simple--[2024-04-06 14,10,15.054551] ,grid_10,1000,332.064,1.035,15.0,1698
so_simple--[2024-04-06 14,16,50.286107] ,grid_10,1001,335.725,1.035,15.0,1631
so_simple--[2024-04-06 14,25,51.484753] ,grid_10,1002,343.257,1.035,15.0,1632
so_simple--[2024-04-06 14,32,20.770057] ,grid_10,1003,344.34,1.035,15.0,1594
so_simple--[2024-04-06 14,41,05.091355] ,grid_10,1004,339.792,1.035,15.0,1709
so_simple--[2024-04-06 14,48,44.555797] ,grid_10,1005,352.041,1.035,15.0,1630
so_simple--[2024-04-06 14,53,01.918482] ,grid_10,1006,330.079,1.035,15.0,1676
so_simple--[2024-04-06 15,13,47.428347] ,grid_10,1007,332.707,1.035,15.0,1631
so_simple--[2024-04-06 15,20,02.844673] ,grid_10,1008,341.661,1.035,15.0,1679
so_simple--[2024-04-06 15,28,36.658103] ,grid_10,1009,355.715,1.035,15.0,1766
so_simple--[2024-04-06 15,37,18.323777] ,grid_10,1000,348.01,1.04,15.0,1684
so_simple--[2024-04-06 15,43,37.649170] ,grid_10,1001,343.934,1.04,15.0,1587
so_simple--[2024-04-06 15,57,26.353644] ,grid_10,1002,348.315,1.04,15.0,1676
so_simple--[2024-04-06 16,02,56.720104] ,grid_10,1003,352.086,1.04,15.0,1649
so_simple--[2024-04-06 16,08,40.247672] ,grid_10,1004,349.364,1.04,15.0,1618
so_simple--[2024-04-06 16,16,25.222493] ,grid_10,1005,333.402,1.04,15.0,1618
so_simple--[2024-04-06 16,25,29.745681] ,grid_10,1006,365.474,1.04,15.0,1720
so_simple--[2024-04-06 16,34,31.388682] ,grid_10,1007,351.57,1.04,15.0,1677
so_simple--[2024-04-06 16,56,18.600404] ,grid_10,1008,350.17,1.04,15.0,1677
so_simple--[2024-04-06 17,05,57.758923] ,grid_10,1009,360.884,1.04,15.0,1722
so_simple--[2024-04-06 17,13,10.597020] ,grid_10,1000,355.265,1.045,15.0,1696
so_simple--[2024-04-06 17,22,12.869236] ,grid_10,1001,370.73,1.045,15.0,1733
so_simple--[2024-04-06 17,27,36.016703] ,grid_10,1002,356.08,1.045,15.0,1706
so_simple--[2024-04-06 17,40,19.103874] ,grid_10,1003,355.8,1.045,15.0,1720
so_simple--[2024-04-06 17,49,22.848050] ,grid_10,1004,377.137,1.045,15.0,1794
so_simple--[2024-04-06 18,11,09.262734] ,grid_10,1005,366.988,1.045,15.0,1691
so_simple--[2024-04-06 18,20,09.062409] ,grid_10,1006,340.775,1.045,15.0,1686
so_simple--[2024-04-06 18,27,52.046608] ,grid_10,1007,355.899,1.045,15.0,1730
so_simple--[2024-04-06 18,35,46.927187] ,grid_10,1008,344.17,1.045,15.0,1678
so_simple--[2024-04-06 18,41,55.031848] ,grid_10,1009,358.966,1.045,15.0,1596
so_simple--[2024-04-06 18,54,20.805253] ,grid_10,1000,353.844,1.05,15.0,1695
so_simple--[2024-04-06 19,16,04.064626] ,grid_10,1001,381.231,1.05,15.0,1740
so_simple--[2024-04-06 19,42,09.314593] ,grid_10,1002,380.16,1.05,15.0,1767
so_simple--[2024-04-06 19,48,37.330360] ,grid_10,1003,384.876,1.05,15.0,1821
so_simple--[2024-04-06 20,09,55.258030] ,grid_10,1004,372.59,1.05,15.0,1787
so_simple--[2024-04-06 20,17,27.362638] ,grid_10,1005,369.256,1.05,15.0,1732
so_simple--[2024-04-06 20,21,58.683400] ,grid_10,1006,365.144,1.05,15.0,1765
so_simple--[2024-04-06 20,28,54.289931] ,grid_10,1007,348.634,1.05,15.0,1721
so_simple--[2024-04-06 21,08,56.177126] ,grid_10,1008,392.059,1.05,15.0,1741
