so_simple--[2024-04-04 11:12:36.732349] , Network: grid_10, Trip Size: 1000, Average Time: 326.327, Increase factor: 1.0, Congestion T: 3, Maxspeed: 15.0, sim_time: 1586
so_simple--[2024-04-04 11:16:54.003491] , Network: grid_10, Trip Size: 1001, Average Time: 334.766, Increase factor: 1.0, Congestion T: 3, Maxspeed: 15.0, sim_time: 1641
so_simple--[2024-04-04 11:41:15.492561] , Network: grid_10, Trip Size: 1002, Average Time: 332.958, Increase factor: 1.0, Congestion T: 3, Maxspeed: 15.0, sim_time: 1632
so_simple--[2024-04-04 11:49:50.978418] , Network: grid_10, Trip Size: 1003, Average Time: 336.034, Increase factor: 1.0, Congestion T: 3, Maxspeed: 15.0, sim_time: 1587
so_simple--[2024-04-04 11:54:47.845688] , Network: grid_10, Trip Size: 1004, Average Time: 332.712, Increase factor: 1.0, Congestion T: 3, Maxspeed: 15.0, sim_time: 1630
so_simple--[2024-04-04 11:59:32.707044] , Network: grid_10, Trip Size: 1005, Average Time: 340.516, Increase factor: 1.0, Congestion T: 3, Maxspeed: 15.0, sim_time: 1597
so_simple--[2024-04-04 12:03:55.739351] , Network: grid_10, Trip Size: 1006, Average Time: 306.233, Increase factor: 1.0, Congestion T: 3, Maxspeed: 15.0, sim_time: 1631
so_simple--[2024-04-04 12:08:24.484274] , Network: grid_10, Trip Size: 1007, Average Time: 320.947, Increase factor: 1.0, Congestion T: 3, Maxspeed: 15.0, sim_time: 1631
so_simple--[2024-04-04 12:13:04.942255] , Network: grid_10, Trip Size: 1008, Average Time: 332.552, Increase factor: 1.0, Congestion T: 3, Maxspeed: 15.0, sim_time: 1642
so_simple--[2024-04-04 12:17:38.259118] , Network: grid_10, Trip Size: 1009, Average Time: 328.303, Increase factor: 1.0, Congestion T: 3, Maxspeed: 15.0, sim_time: 1642
so_simple--[2024-04-04 12:22:06.438016] , Network: grid_10, Trip Size: 1000, Average Time: 335.208, Increase factor: 1.005, Congestion T: 3, Maxspeed: 15.0, sim_time: 1568
so_simple--[2024-04-04 12:26:44.027419] , Network: grid_10, Trip Size: 1001, Average Time: 320.643, Increase factor: 1.005, Congestion T: 3, Maxspeed: 15.0, sim_time: 1643
so_simple--[2024-04-04 12:31:36.760368] , Network: grid_10, Trip Size: 1002, Average Time: 345.492, Increase factor: 1.005, Congestion T: 3, Maxspeed: 15.0, sim_time: 1699
so_simple--[2024-04-04 12:35:59.835987] , Network: grid_10, Trip Size: 1003, Average Time: 330.926, Increase factor: 1.005, Congestion T: 3, Maxspeed: 15.0, sim_time: 1599
so_simple--[2024-04-04 12:40:30.360483] , Network: grid_10, Trip Size: 1004, Average Time: 339.759, Increase factor: 1.005, Congestion T: 3, Maxspeed: 15.0, sim_time: 1722
so_simple--[2024-04-04 12:44:51.457554] , Network: grid_10, Trip Size: 1005, Average Time: 337.88, Increase factor: 1.005, Congestion T: 3, Maxspeed: 15.0, sim_time: 1632
so_simple--[2024-04-04 12:49:13.949868] , Network: grid_10, Trip Size: 1006, Average Time: 334.798, Increase factor: 1.005, Congestion T: 3, Maxspeed: 15.0, sim_time: 1643
so_simple--[2024-04-04 12:53:41.962265] , Network: grid_10, Trip Size: 1007, Average Time: 324.608, Increase factor: 1.005, Congestion T: 3, Maxspeed: 15.0, sim_time: 1585
so_simple--[2024-04-04 12:58:10.855206] , Network: grid_10, Trip Size: 1008, Average Time: 350.189, Increase factor: 1.005, Congestion T: 3, Maxspeed: 15.0, sim_time: 1641
so_simple--[2024-04-04 13:02:22.108087] , Network: grid_10, Trip Size: 1009, Average Time: 324.669, Increase factor: 1.005, Congestion T: 3, Maxspeed: 15.0, sim_time: 1602
so_simple--[2024-04-04 13:12:15.924278] , Network: grid_10, Trip Size: 1000, Average Time: 342.643, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1588
so_simple--[2024-04-04 13:16:32.040765] , Network: grid_10, Trip Size: 1001, Average Time: 332.527, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1600
so_simple--[2024-04-04 13:21:14.397940] , Network: grid_10, Trip Size: 1002, Average Time: 344.616, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1686
so_simple--[2024-04-04 13:25:37.826033] , Network: grid_10, Trip Size: 1003, Average Time: 344.127, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1631
