system_optimum--[2024-04-09 10:21:05.692201] , Network: grid_10, Trip Size: 250, Average Time: 410.673, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1225
user_equilibrium--[2024-04-09 10:24:30.095566] , Network: grid_10, Trip Size: 250, Average Time: 430.76, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1138
system_optimum--[2024-04-09 10:28:26.090596] , Network: grid_10, Trip Size: 251, Average Time: 415.696, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1188
user_equilibrium--[2024-04-09 10:32:03.854242] , Network: grid_10, Trip Size: 251, Average Time: 450.704, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1271
system_optimum--[2024-04-09 10:36:01.839838] , Network: grid_10, Trip Size: 252, Average Time: 428.123, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1215
user_equilibrium--[2024-04-09 10:39:38.086069] , Network: grid_10, Trip Size: 252, Average Time: 435.934, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1279
system_optimum--[2024-04-09 10:43:21.902866] , Network: grid_10, Trip Size: 253, Average Time: 401.633, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1150
user_equilibrium--[2024-04-09 10:46:44.429102] , Network: grid_10, Trip Size: 253, Average Time: 421.501, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1181
system_optimum--[2024-04-09 10:50:28.267861] , Network: grid_10, Trip Size: 254, Average Time: 411.563, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1194
user_equilibrium--[2024-04-09 10:53:39.037349] , Network: grid_10, Trip Size: 254, Average Time: 420.505, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1144
system_optimum--[2024-04-09 10:57:07.734735] , Network: grid_10, Trip Size: 255, Average Time: 398.656, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1126
user_equilibrium--[2024-04-09 11:13:35.002398] , Network: grid_10, Trip Size: 255, Average Time: 434.774, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1240
system_optimum--[2024-04-09 11:17:30.386799] , Network: grid_10, Trip Size: 256, Average Time: 427.682, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1191
user_equilibrium--[2024-04-09 11:21:00.281380] , Network: grid_10, Trip Size: 256, Average Time: 422.973, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1239
system_optimum--[2024-04-09 11:24:54.830840] , Network: grid_10, Trip Size: 257, Average Time: 420.614, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1193
user_equilibrium--[2024-04-09 11:28:26.621062] , Network: grid_10, Trip Size: 257, Average Time: 438.686, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1273
system_optimum--[2024-04-09 11:32:18.591497] , Network: grid_10, Trip Size: 258, Average Time: 422.751, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1197
user_equilibrium--[2024-04-09 11:35:41.383265] , Network: grid_10, Trip Size: 258, Average Time: 426.345, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1192
system_optimum--[2024-04-09 11:40:11.433927] , Network: grid_10, Trip Size: 259, Average Time: 413.287, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1362
user_equilibrium--[2024-04-09 11:43:48.868273] , Network: grid_10, Trip Size: 259, Average Time: 409.585, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1193
system_optimum--[2024-04-05 13:28:19.800717] , Network: grid_10, Trip Size: 260, Average Time: 417.031, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1160
user_equilibrium--[2024-04-05 13:32:12.667073] , Network: grid_10, Trip Size: 260, Average Time: 438.28, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1190
system_optimum--[2024-04-05 13:36:19.234369] , Network: grid_10, Trip Size: 261, Average Time: 413.755, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1182
user_equilibrium--[2024-04-05 13:40:18.501159] , Network: grid_10, Trip Size: 261, Average Time: 433.653, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1233
system_optimum--[2024-04-05 13:44:08.400464] , Network: grid_10, Trip Size: 262, Average Time: 435.82, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1227
user_equilibrium--[2024-04-05 13:47:52.344882] , Network: grid_10, Trip Size: 262, Average Time: 456.007, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1316
system_optimum--[2024-04-05 13:51:52.076465] , Network: grid_10, Trip Size: 263, Average Time: 422.273, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1136
user_equilibrium--[2024-04-05 13:55:20.987789] , Network: grid_10, Trip Size: 263, Average Time: 433.801, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1182
system_optimum--[2024-04-05 13:59:30.918224] , Network: grid_10, Trip Size: 264, Average Time: 427.316, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1337
user_equilibrium--[2024-04-05 14:03:04.496430] , Network: grid_10, Trip Size: 264, Average Time: 432.479, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1237
system_optimum--[2024-04-05 14:07:06.757517] , Network: grid_10, Trip Size: 265, Average Time: 433.648, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1198
user_equilibrium--[2024-04-05 14:10:44.500093] , Network: grid_10, Trip Size: 265, Average Time: 447.558, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1202
system_optimum--[2024-04-05 14:19:31.213692] , Network: grid_10, Trip Size: 266, Average Time: 413.088, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1183
user_equilibrium--[2024-04-05 14:23:11.746415] , Network: grid_10, Trip Size: 266, Average Time: 441.943, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1272
system_optimum--[2024-04-05 14:27:00.909697] , Network: grid_10, Trip Size: 267, Average Time: 408.998, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1236
user_equilibrium--[2024-04-05 14:30:35.159415] , Network: grid_10, Trip Size: 267, Average Time: 435.906, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
system_optimum--[2024-04-05 14:34:31.512534] , Network: grid_10, Trip Size: 268, Average Time: 430.922, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1181
user_equilibrium--[2024-04-05 14:37:45.374070] , Network: grid_10, Trip Size: 268, Average Time: 415.802, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1092
system_optimum--[2024-04-05 14:41:49.666193] , Network: grid_10, Trip Size: 269, Average Time: 432.875, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1238
user_equilibrium--[2024-04-05 14:45:23.652535] , Network: grid_10, Trip Size: 269, Average Time: 434.895, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
system_optimum--[2024-04-05 14:50:02.478252] , Network: grid_10, Trip Size: 270, Average Time: 410.692, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1182
user_equilibrium--[2024-04-05 14:53:36.508044] , Network: grid_10, Trip Size: 270, Average Time: 433.016, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1181
system_optimum--[2024-04-05 14:57:30.791661] , Network: grid_10, Trip Size: 271, Average Time: 423.011, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1181
user_equilibrium--[2024-04-05 15:00:52.897813] , Network: grid_10, Trip Size: 271, Average Time: 426.432, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1190
system_optimum--[2024-04-05 15:04:32.019127] , Network: grid_10, Trip Size: 272, Average Time: 407.435, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1152
user_equilibrium--[2024-04-05 15:07:53.653591] , Network: grid_10, Trip Size: 272, Average Time: 413.147, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1180
system_optimum--[2024-04-05 15:11:45.629827] , Network: grid_10, Trip Size: 273, Average Time: 436.53, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
user_equilibrium--[2024-04-05 15:15:15.093292] , Network: grid_10, Trip Size: 273, Average Time: 465.244, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1238
system_optimum--[2024-04-05 15:25:10.691118] , Network: grid_10, Trip Size: 274, Average Time: 426.974, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1193
user_equilibrium--[2024-04-05 15:43:46.630973] , Network: grid_10, Trip Size: 274, Average Time: 444.051, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1227
system_optimum--[2024-04-05 15:48:01.454026] , Network: grid_10, Trip Size: 275, Average Time: 430.684, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1189
user_equilibrium--[2024-04-05 15:51:44.256921] , Network: grid_10, Trip Size: 275, Average Time: 446.239, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1271
system_optimum--[2024-04-05 15:55:37.545428] , Network: grid_10, Trip Size: 276, Average Time: 409.337, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1157
user_equilibrium--[2024-04-05 15:59:10.534121] , Network: grid_10, Trip Size: 276, Average Time: 438.728, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1208
system_optimum--[2024-04-05 16:02:55.076530] , Network: grid_10, Trip Size: 277, Average Time: 412.105, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
user_equilibrium--[2024-04-05 16:06:13.951057] , Network: grid_10, Trip Size: 277, Average Time: 431.437, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1182
system_optimum--[2024-04-05 16:10:25.959048] , Network: grid_10, Trip Size: 278, Average Time: 427.609, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1199
user_equilibrium--[2024-04-05 16:13:54.857897] , Network: grid_10, Trip Size: 278, Average Time: 432.481, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1194
system_optimum--[2024-04-05 16:17:53.896448] , Network: grid_10, Trip Size: 279, Average Time: 409.108, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1183
user_equilibrium--[2024-04-05 16:21:28.272077] , Network: grid_10, Trip Size: 279, Average Time: 416.511, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
system_optimum--[2024-04-05 16:25:37.804235] , Network: grid_10, Trip Size: 280, Average Time: 435.376, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1270
user_equilibrium--[2024-04-05 16:29:17.113404] , Network: grid_10, Trip Size: 280, Average Time: 439.936, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1271
system_optimum--[2024-04-05 16:33:03.009827] , Network: grid_10, Trip Size: 281, Average Time: 411.892, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1138
user_equilibrium--[2024-04-05 16:36:44.777737] , Network: grid_10, Trip Size: 281, Average Time: 422.284, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
system_optimum--[2024-04-05 16:40:50.625585] , Network: grid_10, Trip Size: 282, Average Time: 409.771, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1150
user_equilibrium--[2024-04-05 16:44:32.301801] , Network: grid_10, Trip Size: 282, Average Time: 440.724, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1242
system_optimum--[2024-04-05 16:48:47.971729] , Network: grid_10, Trip Size: 283, Average Time: 438.911, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1270
user_equilibrium--[2024-04-05 16:52:12.860610] , Network: grid_10, Trip Size: 283, Average Time: 440.934, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1189
system_optimum--[2024-04-05 16:55:54.570525] , Network: grid_10, Trip Size: 284, Average Time: 412.99, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1189
user_equilibrium--[2024-04-05 16:59:18.298503] , Network: grid_10, Trip Size: 284, Average Time: 428.571, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1182
