
so_simple--[2024-04-08 13:30:13.830476] , Network: rand_20, Trip Size: 2001, Average Time: 175.392, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2328
ue_simple--[2024-04-08 13:30:58.042941] , Network: rand_20, Trip Size: 2001, Average Time: 183.364, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2371
so_simple--[2024-04-08 13:31:52.059512] , Network: rand_20, Trip Size: 2002, Average Time: 187.539, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2310
ue_simple--[2024-04-08 13:32:36.490966] , Network: rand_20, Trip Size: 2002, Average Time: 188.648, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2372
so_simple--[2024-04-08 13:33:29.847343] , Network: rand_20, Trip Size: 2003, Average Time: 178.578, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2326
ue_simple--[2024-04-08 13:34:13.181775] , Network: rand_20, Trip Size: 2003, Average Time: 188.351, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2300
so_simple--[2024-04-08 13:35:05.369598] , Network: rand_20, Trip Size: 2004, Average Time: 168.963, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2318
ue_simple--[2024-04-08 13:35:50.718464] , Network: rand_20, Trip Size: 2004, Average Time: 186.024, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2413
so_simple--[2024-04-08 13:36:43.293462] , Network: rand_20, Trip Size: 2005, Average Time: 174.458, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2307
ue_simple--[2024-04-08 13:37:29.090282] , Network: rand_20, Trip Size: 2005, Average Time: 188.539, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2454
so_simple--[2024-04-08 13:38:20.516290] , Network: rand_20, Trip Size: 2006, Average Time: 171.151, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2266
ue_simple--[2024-04-08 13:39:02.814009] , Network: rand_20, Trip Size: 2006, Average Time: 172.074, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2284
so_simple--[2024-04-08 13:45:41.428347] , Network: rand_20, Trip Size: 2007, Average Time: 175.734, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2316
ue_simple--[2024-04-08 13:47:32.459883] , Network: rand_20, Trip Size: 2007, Average Time: 180.707, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2264
