so_simple--[2024-03-27 13:23:01.133178] , Network: rand_20, Trip Size: 1000, Average Time: 320.632, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1686
ue_simple--[2024-03-27 13:23:55.948574] , Network: rand_20, Trip Size: 1000, Average Time: 303.703, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1646
so_simple--[2024-03-27 13:25:06.296377] , Network: rand_20, Trip Size: 1001, Average Time: 282.194, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1655
ue_simple--[2024-03-27 13:25:57.379541] , Network: rand_20, Trip Size: 1001, Average Time: 283.733, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1546
so_simple--[2024-03-27 13:27:06.750760] , Network: rand_20, Trip Size: 1002, Average Time: 286.582, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1604
ue_simple--[2024-03-27 13:28:05.207474] , Network: rand_20, Trip Size: 1002, Average Time: 355.443, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1738
so_simple--[2024-03-27 13:29:14.900521] , Network: rand_20, Trip Size: 1003, Average Time: 306.929, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1659
ue_simple--[2024-03-27 13:30:15.696358] , Network: rand_20, Trip Size: 1003, Average Time: 336.766, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1774
so_simple--[2024-03-27 13:31:24.205115] , Network: rand_20, Trip Size: 1004, Average Time: 294.293, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1587
ue_simple--[2024-03-27 13:32:19.123742] , Network: rand_20, Trip Size: 1004, Average Time: 330.193, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1606
so_simple--[2024-03-27 13:33:30.900254] , Network: rand_20, Trip Size: 1005, Average Time: 287.833, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1603
ue_simple--[2024-03-27 13:34:29.048734] , Network: rand_20, Trip Size: 1005, Average Time: 329.327, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1657
so_simple--[2024-03-27 13:35:44.665198] , Network: rand_20, Trip Size: 1006, Average Time: 307.039, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1694
ue_simple--[2024-03-27 13:36:39.670740] , Network: rand_20, Trip Size: 1006, Average Time: 306.526, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1661
so_simple--[2024-03-27 13:37:45.552811] , Network: rand_20, Trip Size: 1007, Average Time: 282.68, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1617
ue_simple--[2024-03-27 13:38:40.113640] , Network: rand_20, Trip Size: 1007, Average Time: 332.218, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1643
so_simple--[2024-03-27 13:39:46.122014] , Network: rand_20, Trip Size: 1008, Average Time: 278.768, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1659
ue_simple--[2024-03-27 13:40:39.593688] , Network: rand_20, Trip Size: 1008, Average Time: 312.599, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1665
so_simple--[2024-03-27 13:41:52.101469] , Network: rand_20, Trip Size: 1009, Average Time: 327.081, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1649
ue_simple--[2024-03-27 13:42:45.270279] , Network: rand_20, Trip Size: 1009, Average Time: 308.095, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1645
so_simple--[2024-03-27 13:43:52.584432] , Network: rand_20, Trip Size: 1010, Average Time: 284.789, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1573
ue_simple--[2024-03-27 13:44:50.160811] , Network: rand_20, Trip Size: 1010, Average Time: 312.474, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1727
so_simple--[2024-03-27 13:46:04.958634] , Network: rand_20, Trip Size: 1011, Average Time: 310.806, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1802
ue_simple--[2024-03-27 13:47:04.266332] , Network: rand_20, Trip Size: 1011, Average Time: 366.592, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1793
so_simple--[2024-03-27 13:48:09.916008] , Network: rand_20, Trip Size: 1012, Average Time: 261.945, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1575
ue_simple--[2024-03-27 13:49:03.312691] , Network: rand_20, Trip Size: 1012, Average Time: 284.941, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1657
so_simple--[2024-03-27 13:50:16.502385] , Network: rand_20, Trip Size: 1013, Average Time: 302.821, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1636
ue_simple--[2024-03-27 13:51:12.100622] , Network: rand_20, Trip Size: 1013, Average Time: 304.837, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1635
so_simple--[2024-03-27 13:52:27.528339] , Network: rand_20, Trip Size: 1014, Average Time: 335.378, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1679
